Image Name,Red,Green,Blue,Cluster
blueberries (13).jpg,119.24162024512954,130.4243138025711,97.40582580984284,2
blueberries (14).jpg,54.64696614583333,72.01217447916666,85.70158528645834,2
blueberries (15).jpg,55.464494402990205,68.9710625000469,117.22512064170807,2
blueberries (16).jpg,109.56659316773431,135.37536183419894,103.56536528272706,2
blueberries (17).jpg,49.48701336675021,81.48267752715121,124.05449456975772,2
blueberries (18).jpg,84.3753984375,117.181796875,155.4804609375,2
blueberries (19).jpg,212.5880349090303,214.8294992762,220.11454004853104,1
blueberries (2).jpg,149.91926607756506,158.84169857633776,153.87714285714284,1
blueberries (20).jpg,139.72870425321463,147.51725684141115,154.89597098582263,1
blueberries (21).jpg,55.07273448633243,68.86285869283586,94.06365988146133,2
blueberries (22).jpg,199.38835085726848,210.74752527842907,200.0469381960727,1
blueberries (23).jpg,80.72088426159274,90.44080878562592,114.74622262188416,2
blueberries (24).jpg,53.27325355926282,79.78287710717093,157.75072058695082,2
blueberries (25).jpg,111.0699666863025,124.64730112961232,110.69384380729618,2
blueberries (26).jpg,38.11659665278495,104.8578768643466,166.5141741119469,2
blueberries (27).jpg,82.54429853723404,88.56546043882979,129.94940059840425,2
blueberries (28).jpg,88.01563466893565,117.32969136757426,137.17712885790533,2
blueberries (29).jpg,86.05517338496743,97.49696180249956,117.35678929765886,2
blueberries (3).jpg,96.8360305102096,131.72498545052255,114.9748078547561,2
blueberries (30).jpg,182.85705403645832,183.65015625,187.46340169270835,1
blueberries (31).jpg,63.09447309680451,70.71179863721804,86.92173167293232,2
blueberries (32).jpg,55.76241666666667,57.060981481481484,63.87140740740741,2
blueberries (4).jpg,81.10338942382873,83.64627754190906,106.56989748995278,2
blueberries (5).jpg,126.57714114114114,132.13368168168168,137.66375975975976,2
blueberries (6).jpg,78.43289015028212,116.22215044939959,146.35437562730579,2
blueberries (7).jpg,62.375366666666665,86.76668333333333,110.312075,2
blueberries (8).jpg,150.89983415484727,154.55493398896732,110.10495246259352,2
blueberries (9).jpg,177.94780008826126,182.63635867166815,191.66151478375994,1
grapes (1).jpg,86.6632037037037,78.54703703703704,35.20699074074074,2
grapes (10).jpg,184.4878062015504,180.46239534883722,170.1008372093023,1
grapes (11).jpg,114.44734375,105.3493359375,64.142353515625,2
grapes (12).jpg,172.06318532818534,165.09222007722008,175.85083011583012,1
grapes (13).jpg,98.20411777944486,113.12900900225057,58.736059264816205,2
grapes (14).jpg,211.41283177083332,210.1972359375,207.14414947916666,1
grapes (15).jpg,74.55038888888889,97.44224444444444,94.20027777777777,2
